lot_name,spot_num,lat,long
PCC,PCC_15,35.5039794,-80.8426535
PCC,PCC_16,35.5039654,-80.8426266
PCC,PCC_17,35.5039531,-80.8426022
PCC,PCC_18,35.5038849,-80.8424775
PCC,PCC_19,35.5038626,-80.8424539
PCC,PCC_20,35.5038048,-80.8423534
PCC,PCC_21,35.5037687,-80.8423295
PCC,PCC_22,35.5037841,-80.8423064
PCC,PCC_23,35.5037632,-80.8422794
PCC,PCC_24,35.5037448,-80.8422547
PCC,PCC_25,35.5037325,-80.8422246
PCC,PCC_26,35.5037113,-80.8421945
PCC,PCC_27,35.5037019,-80.8421659
PCC,PCC_28,35.5036771,-80.8421393
PCC,PCC_29,35.5036571,-80.842117
PCC,PCC_30,35.5036047,-80.84204
PCC,PCC_31,35.5035835,-80.8420187
PCC,PCC_32,35.5034838,-80.8419458
PCC,PCC_33,35.5034565,-80.8419328
PCC,PCC_34,35.5034344,-80.8419234
PCC,PCC_35,35.5034098,-80.8419167
PCC,PCC_36,35.5033875,-80.8419012
PCC,PCC_37,35.5033629,-80.8418882
PCC,PCC_38,35.5033373,-80.8418782
PCC,PCC_39,35.5033098,-80.8418716
PCC,PCC_40,35.503285,-80.8418618
PCC,PCC_41,35.5032628,-80.8418632
PCC,PCC_42,35.5032401,-80.8418632
PCC,PCC_43,35.5031763,-80.8418518
PCC,PCC_44,35.5031516,35.5031516
PCC,PCC_45,35.503125,-80.8418618
PCC,PCC_46,35.5030992,-80.8418623
PCC,PCC_47,35.503073,-80.8418715
PCC,PCC_48,35.5030462,-80.8418754
PCC,PCC_49,35.5030223,-80.8418875
PCC,PCC_50,35.5029999,-80.8419009
PCC,PCC_51,35.5028619,-80.8419719
PCC,PCC_52,35.5028434,-80.8419873
PCC,PCC_53,35.5028211,-80.8420038
PCC,PCC_54,35.5028006,-80.8420206
PCC,PCC_55,35.5027796,-80.8420361
PCC,PCC_56,35.5026008,-80.8421692
PCC,PCC_57,35.5025828,-80.8421828
PCC,PCC_58,35.502561,-80.8421987
PCC,PCC_59,35.502541,-80.8422166
PCC,PCC_60,35.5024854,-80.8422599
PCC,PCC_61,35.5024658,-80.8422739
PCC,PCC_62,35.5024447,-80.8422939
PCC,PCC_63,35.5024241,-80.8423091
PCC,PCC_64,35.5024041,-80.842324
PCC,PCC_65,35.5023801,-80.8423415
PCC,PCC_66,35.50236,-80.8423567
PCC,PCC_67,35.5023387,-80.8423674
PCC,PCC_68,35.5023168,-80.8423821
PCC,PCC_69,35.5022984,-80.8424046
PCC,PCC_70,35.5022813,-80.8424237
PCC,PCC_71,35.5022622,-80.842436
PCC,PCC_72,35.5022391,-80.8424507
Stowe,Stowe_01,35.5004189,-80.8408603
Stowe,Stowe_02,35.5004448,-80.8408433
Stowe,Stowe_03,35.5004574,-80.8408305
Stowe,Stowe_04,35.5004794,-80.8408043
Stowe,Stowe_05,35.5005002,-80.8407882
Stowe,Stowe_06,35.5005215,-80.8407737
Stowe,Stowe_07,35.500541,-80.8407547
Stowe,Stowe_08,35.5005662,-80.8407383
Stowe,Stowe_09,35.5005823,-80.8407212
Stowe,Stowe_10,35.5006024,-80.8407001
Stowe,Stowe_11,35.5006234,-80.8406821
Stowe,Stowe_12,35.500508,-80.8405869
Stowe,Stowe_13,35.5004964,-80.8405591
Stowe,Stowe_14,35.5004833,-80.8405352
Stowe,Stowe_15,35.5004687,-80.8405092
Stowe,Stowe_16,35.5004529,-80.8404892
Stowe,Stowe_17,35.5004361,-80.8404642
Stowe,Stowe_18,35.5004237,-80.840437
Stowe,Stowe_19,35.5004057,-80.8404164
Stowe,Stowe_20,35.5003928,-80.8403899
Stowe,Stowe_21,35.5003805,-80.8403629
Stowe,Stowe_22,35.5003629,-80.8403387
Stowe,Stowe_23,35.5003502,-80.8403162
Stowe,Stowe_24,35.500339,-80.840289
Stowe,Stowe_25,35.50032,-80.8402615
Stowe,Stowe_26,35.5003058,-80.8402417
Stowe,Stowe_27,35.5002619,-80.8401645
Stowe,Stowe_28,35.5002457,-80.8401421
Stowe,Stowe_29,35.500232,-80.8401172
Stowe,Stowe_30,35.5002205,-80.8400902
Stowe,Stowe_31,35.5002056,-80.8400629
Stowe,Stowe_32,35.5001894,-80.8400396
Stowe,Stowe_33,35.5001785,-80.8400151
Stowe,Stowe_34,35.5001639,-80.8399931
Stowe,Stowe_35,35.5001524,-80.8399662
Stowe,Stowe_36,35.5001322,-80.8399438
Stowe,Stowe_37,35.5001242,-80.8399177
Stowe,Stowe_38,35.5001088,-80.8398923
Stowe,Stowe_39,35.5000912,-80.8398678
Stowe,Stowe_40,35.5000754,-80.8398452
Stowe,Stowe_41,35.5000627,-80.8398164
Stowe,Stowe_42,35.5000207,-80.8398562
Stowe,Stowe_43,35.5000373,-80.8398782
Stowe,Stowe_44,35.500049,-80.8399055
Stowe,Stowe_45,35.5000685,-80.8399264
Stowe,Stowe_46,35.5000795,-80.8399558
Stowe,Stowe_47,35.5000951,-80.8399789
Stowe,Stowe_48,35.5001083,-80.8400041
Stowe,Stowe_49,35.5001194,-80.8400304
Stowe,Stowe_50,35.5001356,-80.8400533
Stowe,Stowe_51,35.500151,-80.8400774
Stowe,Stowe_52,35.500164,-80.8401039
Stowe,Stowe_53,35.5001798,-80.8401274
Stowe,Stowe_54,35.5001952,-80.8401507
Stowe,Stowe_55,35.5002085,-80.8401755
Stowe,Stowe_56,35.5002242,-80.840199
Stowe,Stowe_57,35.5002655,-80.8402784
Stowe,Stowe_58,35.5002777,-80.840301
Stowe,Stowe_59,35.5001936,-80.8402827
Stowe,Stowe_60,35.5003043,-80.8403534
Stowe,Stowe_61,35.5003197,-80.8403795
Stowe,Stowe_62,35.5003364,-80.8403999
Stowe,Stowe_63,35.5003493,-80.8404254
Stowe,Stowe_64,35.5003665,-80.8404485
Stowe,Stowe_65,35.5003804,-80.840472
Stowe,Stowe_66,35.5003936,-80.8405002
Stowe,Stowe_67,35.5004092,-80.8405226
Stowe,Stowe_68,35.500426,-80.8405448
Stowe,Stowe_69,35.5004427,-80.8405692
Stowe,Stowe_70,35.5004521,-80.8405944
Stowe,Stowe_71,35.5004656,-80.8406201
Stowe,Stowe_72,35.5003729,-80.840703
Stowe,Stowe_73,35.5003542,-80.8406819
Stowe,Stowe_74,35.5003406,-80.8406552
Stowe,Stowe_75,35.5003249,-80.8406314
Stowe,Stowe_76,35.5003135,-80.8406068
Stowe,Stowe_77,35.5002969,-80.8405811
Stowe,Stowe_78,35.500284,-80.8405566
Stowe,Stowe_79,35.5002711,-80.8405313
Stowe,Stowe_80,35.5002573,-80.8405115
Stowe,Stowe_81,35.5002422,-80.8404862
Stowe,Stowe_82,35.5002271,-80.8404589
Stowe,Stowe_83,35.5002125,-80.8404331
Stowe,Stowe_84,35.5001958,-80.8404097
Stowe,Stowe_85,35.5001815,-80.8403844
Stowe,Stowe_86,35.5001688,-80.8403626
Stowe,Stowe_87,35.5001297,-80.8402843
Stowe,Stowe_88,35.5001117,-80.8402605
Stowe,Stowe_89,35.5000983,-80.8402377
Stowe,Stowe_90,35.5000868,-80.8402086
Stowe,Stowe_91,35.5000775,-80.8401825
Stowe,Stowe_92,35.5000554,-80.8401605
Stowe,Stowe_93,35.5000424,-80.840135
Stowe,Stowe_94,35.5000265,-80.8401135
Stowe,Stowe_95,35.5000142,-80.8400843
Stowe,Stowe_96,35.4999963,-80.840059
Stowe,Stowe_97,35.4999816,-80.8400375
Stowe,Stowe_98,35.4999665,-80.840014
Stowe,Stowe_99,35.4999534,-80.8399898
Stowe,Stowe_100,35.4999423,-80.8399625
Stowe,Stowe_101,35.4999246,-80.839942
Stowe,Stowe_102,35.4998843,-80.8399777
Stowe,Stowe_103,35.4999006,-80.8400018
Stowe,Stowe_104,35.4999137,-80.8400264
Stowe,Stowe_105,35.4999264,-80.8400477
Stowe,Stowe_106,35.4999409,-80.8400734
Stowe,Stowe_107,35.4999584,-80.8400982
Stowe,Stowe_108,35.4999722,-80.8401209
Stowe,Stowe_109,35.499986,-80.840148
Stowe,Stowe_110,35.5,-80.8401749
Stowe,Stowe_111,35.5000173,-80.840197
Stowe,Stowe_112,35.5000296,-80.8402248
Stowe,Stowe_113,35.5000461,-80.840246
Stowe,Stowe_114,35.5000612,-80.8402709
Stowe,Stowe_115,35.5000701,-80.8402992
Stowe,Stowe_116,35.500081,-80.8403289
Stowe,Stowe_117,35.5001326,-80.8403938
Stowe,Stowe_118,35.5001444,-80.8404222
Stowe,Stowe_119,35.5001556,-80.840447
Stowe,Stowe_120,35.5001716,-80.8404719
Stowe,Stowe_121,35.5001867,-80.840494
Stowe,Stowe_122,35.5002007,-80.8405208
Stowe,Stowe_123,35.5002145,-80.8405437
Stowe,Stowe_124,35.5002267,-80.8405693
Stowe,Stowe_125,35.500243,-80.8405912
Stowe,Stowe_126,35.5002587,-80.8406135
Stowe,Stowe_127,35.5002724,-80.8406411
Stowe,Stowe_128,35.5002879,-80.8406643
Stowe,Stowe_129,35.5002995,-80.8406926
Stowe,Stowe_130,35.5003152,-80.8407168
Stowe,Stowe_131,35.500333,-80.8407363
Stowe,Stowe_132,35.5002447,-80.8408509
